DEBUG: Room 0, Exit direction 4, destRoomVnum: 3001
DEBUG: Room 3001, Exit direction 0, destRoomVnum: 3054
DEBUG: Room 3001, Exit direction 2, destRoomVnum: 3005
DEBUG: Room 3001, Exit direction 5, destRoomVnum: 3005
DEBUG: Room 3002, Exit direction 1, destRoomVnum: 3003
DEBUG: Room 3002, Exit direction 5, destRoomVnum: 7026
DEBUG: Room 3003, Exit direction 2, destRoomVnum: 3004
DEBUG: Room 3003, Exit direction 3, destRoomVnum: 3002
DEBUG: Room 3004, Exit direction 0, destRoomVnum: 3003
DEBUG: Room 3004, Exit direction 1, destRoomVnum: 3005
DEBUG: Room 3005, Exit direction 0, destRoomVnum: 3001
DEBUG: Room 3005, Exit direction 1, destRoomVnum: 3006
DEBUG: Room 3005, Exit direction 2, destRoomVnum: 3014
DEBUG: Room 3005, Exit direction 3, destRoomVnum: 3004
DEBUG: Room 3006, Exit direction 1, destRoomVnum: 3007
DEBUG: Room 3006, Exit direction 3, destRoomVnum: 3005
DEBUG: Room 3006, Exit direction 4, destRoomVnum: 3008
DEBUG: Room 3007, Exit direction 3, destRoomVnum: 3006
DEBUG: Room 3008, Exit direction 5, destRoomVnum: 3006
DEBUG: Room 3009, Exit direction 2, destRoomVnum: 3013
DEBUG: Room 3010, Exit direction 2, destRoomVnum: 3015
DEBUG: Room 3011, Exit direction 2, destRoomVnum: 3016
DEBUG: Room 3012, Exit direction 0, destRoomVnum: 3033
DEBUG: Room 3012, Exit direction 1, destRoomVnum: 3013
DEBUG: Room 3012, Exit direction 2, destRoomVnum: 3017
DEBUG: Room 3012, Exit direction 3, destRoomVnum: 3040
DEBUG: Room 3013, Exit direction 0, destRoomVnum: 3009
DEBUG: Room 3013, Exit direction 1, destRoomVnum: 3014
DEBUG: Room 3013, Exit direction 2, destRoomVnum: 3020
DEBUG: Room 3013, Exit direction 3, destRoomVnum: 3012
DEBUG: Room 3014, Exit direction 0, destRoomVnum: 3005
DEBUG: Room 3014, Exit direction 1, destRoomVnum: 3015
DEBUG: Room 3014, Exit direction 2, destRoomVnum: 3025
DEBUG: Room 3014, Exit direction 3, destRoomVnum: 3013
DEBUG: Room 3015, Exit direction 0, destRoomVnum: 3010
DEBUG: Room 3015, Exit direction 1, destRoomVnum: 3016
DEBUG: Room 3015, Exit direction 2, destRoomVnum: 3031
DEBUG: Room 3015, Exit direction 3, destRoomVnum: 3014
DEBUG: Room 3016, Exit direction 0, destRoomVnum: 3011
DEBUG: Room 3016, Exit direction 1, destRoomVnum: 3041
DEBUG: Room 3016, Exit direction 2, destRoomVnum: 3021
DEBUG: Room 3016, Exit direction 3, destRoomVnum: 3015
DEBUG: Room 3017, Exit direction 0, destRoomVnum: 3012
DEBUG: Room 3017, Exit direction 2, destRoomVnum: 3018
DEBUG: Room 3018, Exit direction 0, destRoomVnum: 3017
DEBUG: Room 3018, Exit direction 1, destRoomVnum: 3019
DEBUG: Room 3019, Exit direction 3, destRoomVnum: 3018
DEBUG: Room 3019, Exit direction 5, destRoomVnum: 7017
DEBUG: Room 3020, Exit direction 0, destRoomVnum: 3013
DEBUG: Room 3021, Exit direction 0, destRoomVnum: 3016
DEBUG: Room 3021, Exit direction 1, destRoomVnum: 3022
DEBUG: Room 3022, Exit direction 2, destRoomVnum: 3023
DEBUG: Room 3022, Exit direction 3, destRoomVnum: 3021
DEBUG: Room 3023, Exit direction 0, destRoomVnum: 3022
DEBUG: Room 3023, Exit direction 5, destRoomVnum: 7048
DEBUG: Room 3024, Exit direction 1, destRoomVnum: 3025
DEBUG: Room 3024, Exit direction 2, destRoomVnum: 3048
DEBUG: Room 3024, Exit direction 3, destRoomVnum: 3044
DEBUG: Room 3024, Exit direction 4, destRoomVnum: 8001
DEBUG: Room 3025, Exit direction 0, destRoomVnum: 3014
DEBUG: Room 3025, Exit direction 1, destRoomVnum: 3026
DEBUG: Room 3025, Exit direction 2, destRoomVnum: 3030
DEBUG: Room 3025, Exit direction 3, destRoomVnum: 3024
DEBUG: Room 3026, Exit direction 1, destRoomVnum: 3045
DEBUG: Room 3026, Exit direction 2, destRoomVnum: 3027
DEBUG: Room 3026, Exit direction 3, destRoomVnum: 3025
DEBUG: Room 3027, Exit direction 0, destRoomVnum: 3026
DEBUG: Room 3027, Exit direction 1, destRoomVnum: 3028
DEBUG: Room 3028, Exit direction 2, destRoomVnum: 3029
DEBUG: Room 3028, Exit direction 3, destRoomVnum: 3027
DEBUG: Room 3029, Exit direction 0, destRoomVnum: 3028
DEBUG: Room 3029, Exit direction 5, destRoomVnum: 7043
DEBUG: Room 3030, Exit direction 0, destRoomVnum: 3025
DEBUG: Room 3030, Exit direction 2, destRoomVnum: -1
DEBUG: Room 3030, Exit direction 5, destRoomVnum: 7030
DEBUG: Room 3031, Exit direction 0, destRoomVnum: 3015
DEBUG: Room 3033, Exit direction 2, destRoomVnum: 3012
DEBUG: Room 3040, Exit direction 1, destRoomVnum: 3012
DEBUG: Room 3040, Exit direction 2, destRoomVnum: 3042
DEBUG: Room 3040, Exit direction 3, destRoomVnum: 3052
DEBUG: Room 3041, Exit direction 1, destRoomVnum: 3053
DEBUG: Room 3041, Exit direction 3, destRoomVnum: 3016
DEBUG: Room 3042, Exit direction 0, destRoomVnum: 3040
DEBUG: Room 3042, Exit direction 2, destRoomVnum: 3043
DEBUG: Room 3043, Exit direction 0, destRoomVnum: 3042
DEBUG: Room 3043, Exit direction 1, destRoomVnum: 3044
DEBUG: Room 3043, Exit direction 2, destRoomVnum: 3047
DEBUG: Room 3044, Exit direction 1, destRoomVnum: 3024
DEBUG: Room 3044, Exit direction 3, destRoomVnum: 3043
DEBUG: Room 3045, Exit direction 1, destRoomVnum: 3046
DEBUG: Room 3045, Exit direction 2, destRoomVnum: 3049
DEBUG: Room 3045, Exit direction 3, destRoomVnum: 3026
DEBUG: Room 3046, Exit direction 2, destRoomVnum: 3050
DEBUG: Room 3046, Exit direction 3, destRoomVnum: 3045
DEBUG: Room 3047, Exit direction 0, destRoomVnum: 3043
DEBUG: Room 3047, Exit direction 2, destRoomVnum: 3051
DEBUG: Room 3048, Exit direction 0, destRoomVnum: 3024
DEBUG: Room 3049, Exit direction 0, destRoomVnum: 3045
DEBUG: Room 3049, Exit direction 2, destRoomVnum: 3203
DEBUG: Room 3050, Exit direction 0, destRoomVnum: 3046
DEBUG: Room 3051, Exit direction 0, destRoomVnum: 3047
DEBUG: Room 3051, Exit direction 2, destRoomVnum: 3100
DEBUG: Room 3052, Exit direction 1, destRoomVnum: 3040
DEBUG: Room 3052, Exit direction 3, destRoomVnum: 6000
DEBUG: Room 3053, Exit direction 1, destRoomVnum: 3503
DEBUG: Room 3053, Exit direction 3, destRoomVnum: 3041
DEBUG: Room 3054, Exit direction 2, destRoomVnum: 3001
DEBUG: Room 3100, Exit direction 0, destRoomVnum: 3051
DEBUG: Room 3100, Exit direction 1, destRoomVnum: 3101
DEBUG: Room 3100, Exit direction 2, destRoomVnum: 3127
DEBUG: Room 3101, Exit direction 1, destRoomVnum: 3102
DEBUG: Room 3101, Exit direction 2, destRoomVnum: 3131
DEBUG: Room 3101, Exit direction 3, destRoomVnum: 3100
DEBUG: Room 3102, Exit direction 1, destRoomVnum: 3103
DEBUG: Room 3102, Exit direction 2, destRoomVnum: 3105
DEBUG: Room 3102, Exit direction 3, destRoomVnum: 3101
DEBUG: Room 3103, Exit direction 1, destRoomVnum: 3104
DEBUG: Room 3103, Exit direction 2, destRoomVnum: 3132
DEBUG: Room 3103, Exit direction 3, destRoomVnum: 3102
DEBUG: Room 3104, Exit direction 2, destRoomVnum: 3130
DEBUG: Room 3104, Exit direction 3, destRoomVnum: 3103
DEBUG: Room 3105, Exit direction 0, destRoomVnum: 3102
DEBUG: Room 3105, Exit direction 1, destRoomVnum: 3106
DEBUG: Room 3105, Exit direction 2, destRoomVnum: 3108
DEBUG: Room 3106, Exit direction 3, destRoomVnum: 3105
DEBUG: Room 3107, Exit direction 1, destRoomVnum: 3108
DEBUG: Room 3107, Exit direction 2, destRoomVnum: 3113
DEBUG: Room 3108, Exit direction 0, destRoomVnum: 3105
DEBUG: Room 3108, Exit direction 1, destRoomVnum: 3109
DEBUG: Room 3108, Exit direction 3, destRoomVnum: 3107
DEBUG: Room 3109, Exit direction 2, destRoomVnum: 3115
DEBUG: Room 3109, Exit direction 3, destRoomVnum: 3108
DEBUG: Room 3110, Exit direction 1, destRoomVnum: 3111
DEBUG: Room 3111, Exit direction 0, destRoomVnum: 3131
DEBUG: Room 3111, Exit direction 1, destRoomVnum: 3112
DEBUG: Room 3111, Exit direction 2, destRoomVnum: 3118
DEBUG: Room 3111, Exit direction 3, destRoomVnum: 3110
DEBUG: Room 3112, Exit direction 1, destRoomVnum: 3113
DEBUG: Room 3112, Exit direction 3, destRoomVnum: 3111
DEBUG: Room 3113, Exit direction 0, destRoomVnum: 3107
DEBUG: Room 3113, Exit direction 1, destRoomVnum: 3114
DEBUG: Room 3113, Exit direction 3, destRoomVnum: 3112
DEBUG: Room 3114, Exit direction 1, destRoomVnum: 3115
DEBUG: Room 3114, Exit direction 3, destRoomVnum: 3113
DEBUG: Room 3115, Exit direction 0, destRoomVnum: 3109
DEBUG: Room 3115, Exit direction 1, destRoomVnum: 3116
DEBUG: Room 3115, Exit direction 3, destRoomVnum: 3114
DEBUG: Room 3116, Exit direction 1, destRoomVnum: 3117
DEBUG: Room 3116, Exit direction 3, destRoomVnum: 3115
DEBUG: Room 3117, Exit direction 0, destRoomVnum: 3132
DEBUG: Room 3117, Exit direction 1, destRoomVnum: 3137
DEBUG: Room 3117, Exit direction 2, destRoomVnum: 3119
DEBUG: Room 3117, Exit direction 3, destRoomVnum: 3116
DEBUG: Room 3118, Exit direction 0, destRoomVnum: 3111
DEBUG: Room 3118, Exit direction 1, destRoomVnum: 3300
DEBUG: Room 3118, Exit direction 2, destRoomVnum: 3135
DEBUG: Room 3119, Exit direction 0, destRoomVnum: 3117
DEBUG: Room 3119, Exit direction 2, destRoomVnum: 3133
DEBUG: Room 3120, Exit direction 0, destRoomVnum: 3133
DEBUG: Room 3120, Exit direction 1, destRoomVnum: 3136
DEBUG: Room 3120, Exit direction 2, destRoomVnum: 3134
DEBUG: Room 3120, Exit direction 3, destRoomVnum: 3135
DEBUG: Room 3120, Exit direction 4, destRoomVnum: 7914
DEBUG: Room 3121, Exit direction 1, destRoomVnum: 3134
DEBUG: Room 3121, Exit direction 2, destRoomVnum: 3125
DEBUG: Room 3122, Exit direction 0, destRoomVnum: 3136
DEBUG: Room 3122, Exit direction 1, destRoomVnum: 3123
DEBUG: Room 3122, Exit direction 2, destRoomVnum: 3126
DEBUG: Room 3123, Exit direction 1, destRoomVnum: 3124
DEBUG: Room 3123, Exit direction 3, destRoomVnum: 3122
DEBUG: Room 3124, Exit direction 3, destRoomVnum: 3123
DEBUG: Room 3125, Exit direction 0, destRoomVnum: 3121
DEBUG: Room 3125, Exit direction 2, destRoomVnum: 3128
DEBUG: Room 3126, Exit direction 0, destRoomVnum: 3122
DEBUG: Room 3126, Exit direction 1, destRoomVnum: 6904
DEBUG: Room 3126, Exit direction 2, destRoomVnum: 3129
DEBUG: Room 3127, Exit direction 0, destRoomVnum: 3100
DEBUG: Room 3127, Exit direction 1, destRoomVnum: 3128
DEBUG: Room 3128, Exit direction 0, destRoomVnum: 3125
DEBUG: Room 3128, Exit direction 1, destRoomVnum: 3129
DEBUG: Room 3128, Exit direction 3, destRoomVnum: 3127
DEBUG: Room 3129, Exit direction 0, destRoomVnum: 3126
DEBUG: Room 3129, Exit direction 1, destRoomVnum: 3130
DEBUG: Room 3129, Exit direction 2, destRoomVnum: 3400
DEBUG: Room 3129, Exit direction 3, destRoomVnum: 3128
DEBUG: Room 3130, Exit direction 0, destRoomVnum: 3104
DEBUG: Room 3130, Exit direction 3, destRoomVnum: 3129
DEBUG: Room 3131, Exit direction 0, destRoomVnum: 3101
DEBUG: Room 3131, Exit direction 2, destRoomVnum: 3111
DEBUG: Room 3132, Exit direction 0, destRoomVnum: 3103
DEBUG: Room 3132, Exit direction 1, destRoomVnum: 3139
DEBUG: Room 3132, Exit direction 2, destRoomVnum: 3117
DEBUG: Room 3133, Exit direction 1, destRoomVnum: 3119
DEBUG: Room 3133, Exit direction 2, destRoomVnum: 3120
DEBUG: Room 3134, Exit direction 0, destRoomVnum: 3120
DEBUG: Room 3134, Exit direction 3, destRoomVnum: 3121
DEBUG: Room 3135, Exit direction 0, destRoomVnum: 3118
DEBUG: Room 3135, Exit direction 1, destRoomVnum: 3120
DEBUG: Room 3136, Exit direction 2, destRoomVnum: 3122
DEBUG: Room 3136, Exit direction 3, destRoomVnum: 3120
DEBUG: Room 3137, Exit direction 1, destRoomVnum: 3138
DEBUG: Room 3137, Exit direction 3, destRoomVnum: 3117
DEBUG: Room 3138, Exit direction 3, destRoomVnum: 3137
DEBUG: Room 3139, Exit direction 1, destRoomVnum: 3140
DEBUG: Room 3139, Exit direction 3, destRoomVnum: 3132
DEBUG: Room 3140, Exit direction 0, destRoomVnum: 3141
DEBUG: Room 3140, Exit direction 3, destRoomVnum: 3139
DEBUG: Room 3141, Exit direction 2, destRoomVnum: 3140
DEBUG: Room 3200, Exit direction 1, destRoomVnum: 3201
DEBUG: Room 3200, Exit direction 3, destRoomVnum: -1
DEBUG: Room 3201, Exit direction 1, destRoomVnum: 3202
DEBUG: Room 3201, Exit direction 3, destRoomVnum: 3200
DEBUG: Room 3202, Exit direction 1, destRoomVnum: 3203
DEBUG: Room 3202, Exit direction 3, destRoomVnum: 3201
DEBUG: Room 3203, Exit direction 0, destRoomVnum: 3049
DEBUG: Room 3203, Exit direction 1, destRoomVnum: 3204
DEBUG: Room 3203, Exit direction 3, destRoomVnum: 3202
DEBUG: Room 3204, Exit direction 1, destRoomVnum: 3205
DEBUG: Room 3204, Exit direction 3, destRoomVnum: 3203
DEBUG: Room 3205, Exit direction 1, destRoomVnum: -1
DEBUG: Room 3205, Exit direction 3, destRoomVnum: 3204
DEBUG: Room 3300, Exit direction 3, destRoomVnum: 3118
DEBUG: Room 3400, Exit direction 0, destRoomVnum: 3129
DEBUG: Room 3400, Exit direction 2, destRoomVnum: 3401
DEBUG: Room 3401, Exit direction 0, destRoomVnum: 3400
DEBUG: Room 3401, Exit direction 2, destRoomVnum: 3402
DEBUG: Room 3402, Exit direction 0, destRoomVnum: 3401
DEBUG: Room 3402, Exit direction 2, destRoomVnum: 3403
DEBUG: Room 3403, Exit direction 0, destRoomVnum: 3402
DEBUG: Room 3403, Exit direction 2, destRoomVnum: 3404
DEBUG: Room 3404, Exit direction 0, destRoomVnum: 3403
DEBUG: Room 3404, Exit direction 2, destRoomVnum: 3405
DEBUG: Room 3405, Exit direction 0, destRoomVnum: 3404
DEBUG: Room 3500, Exit direction 0, destRoomVnum: 4000
DEBUG: Room 3500, Exit direction 2, destRoomVnum: 3501
DEBUG: Room 3501, Exit direction 0, destRoomVnum: 3500
DEBUG: Room 3501, Exit direction 2, destRoomVnum: 3502
DEBUG: Room 3502, Exit direction 0, destRoomVnum: 3501
DEBUG: Room 3502, Exit direction 3, destRoomVnum: 3502
DEBUG: Room 3502, Exit direction 3, destRoomVnum: 3053
DEBUG: Room 4000, Exit direction 0, destRoomVnum: 4001
DEBUG: Room 4000, Exit direction 2, destRoomVnum: 3500
DEBUG: Room 4001, Exit direction 0, destRoomVnum: 4002
DEBUG: Room 4001, Exit direction 2, destRoomVnum: 4000
DEBUG: Room 4002, Exit direction 0, destRoomVnum: 4010
DEBUG: Room 4002, Exit direction 2, destRoomVnum: 4001
DEBUG: Room 4010, Exit direction 0, destRoomVnum: 4011
DEBUG: Room 4010, Exit direction 2, destRoomVnum: 4002
DEBUG: Room 4011, Exit direction 0, destRoomVnum: 4014
DEBUG: Room 4011, Exit direction 2, destRoomVnum: 4010
DEBUG: Room 4012, Exit direction 0, destRoomVnum: 4016
DEBUG: Room 4012, Exit direction 1, destRoomVnum: 4013
DEBUG: Room 4013, Exit direction 1, destRoomVnum: 4014
DEBUG: Room 4013, Exit direction 3, destRoomVnum: 4012
DEBUG: Room 4014, Exit direction 0, destRoomVnum: 4018
DEBUG: Room 4014, Exit direction 2, destRoomVnum: 4011
DEBUG: Room 4014, Exit direction 3, destRoomVnum: 4013
DEBUG: Room 4015, Exit direction 0, destRoomVnum: 4019
DEBUG: Room 4015, Exit direction 3, destRoomVnum: 4014
DEBUG: Room 4016, Exit direction 1, destRoomVnum: 4017
DEBUG: Room 4016, Exit direction 2, destRoomVnum: 4012
DEBUG: Room 4016, Exit direction 3, destRoomVnum: 4023
DEBUG: Room 4017, Exit direction 3, destRoomVnum: 4016
DEBUG: Room 4018, Exit direction 0, destRoomVnum: 4025
DEBUG: Room 4018, Exit direction 2, destRoomVnum: 4014
DEBUG: Room 4019, Exit direction 0, destRoomVnum: 4026
DEBUG: Room 4019, Exit direction 2, destRoomVnum: 4015
DEBUG: Room 4020, Exit direction 0, destRoomVnum: 4027
DEBUG: Room 4020, Exit direction 5, destRoomVnum: 4064
DEBUG: Room 4021, Exit direction 1, destRoomVnum: 4022
DEBUG: Room 4021, Exit direction 5, destRoomVnum: 4115
DEBUG: Room 4022, Exit direction 0, destRoomVnum: 4024
DEBUG: Room 4022, Exit direction 1, destRoomVnum: 4023
DEBUG: Room 4022, Exit direction 3, destRoomVnum: 4021
DEBUG: Room 4023, Exit direction 1, destRoomVnum: 4016
DEBUG: Room 4023, Exit direction 3, destRoomVnum: 4022
DEBUG: Room 4024, Exit direction 2, destRoomVnum: 4022
DEBUG: Room 4024, Exit direction 3, destRoomVnum: 4059
DEBUG: Room 4025, Exit direction 1, destRoomVnum: 4026
DEBUG: Room 4025, Exit direction 2, destRoomVnum: 4018
DEBUG: Room 4026, Exit direction 0, destRoomVnum: 4028
DEBUG: Room 4026, Exit direction 1, destRoomVnum: 4027
DEBUG: Room 4026, Exit direction 2, destRoomVnum: 4019
DEBUG: Room 4026, Exit direction 3, destRoomVnum: 4025
DEBUG: Room 4027, Exit direction 0, destRoomVnum: 4029
DEBUG: Room 4027, Exit direction 2, destRoomVnum: 4020
DEBUG: Room 4027, Exit direction 3, destRoomVnum: 4026
DEBUG: Room 4028, Exit direction 0, destRoomVnum: 4030
DEBUG: Room 4028, Exit direction 2, destRoomVnum: 4026
DEBUG: Room 4029, Exit direction 0, destRoomVnum: 4031
DEBUG: Room 4029, Exit direction 2, destRoomVnum: 4027
DEBUG: Room 4030, Exit direction 2, destRoomVnum: 4028
DEBUG: Room 4031, Exit direction 2, destRoomVnum: 4029
DEBUG: Room 4050, Exit direction 1, destRoomVnum: 4051
DEBUG: Room 4050, Exit direction 2, destRoomVnum: 4053
DEBUG: Room 4051, Exit direction 1, destRoomVnum: 4052
DEBUG: Room 4051, Exit direction 3, destRoomVnum: 4050
DEBUG: Room 4052, Exit direction 1, destRoomVnum: 4100
DEBUG: Room 4052, Exit direction 3, destRoomVnum: 4051
DEBUG: Room 4053, Exit direction 0, destRoomVnum: 4050
DEBUG: Room 4053, Exit direction 1, destRoomVnum: 4054
DEBUG: Room 4054, Exit direction 1, destRoomVnum: 4055
DEBUG: Room 4054, Exit direction 2, destRoomVnum: 4056
DEBUG: Room 4054, Exit direction 3, destRoomVnum: 4053
DEBUG: Room 4055, Exit direction 3, destRoomVnum: 4054
DEBUG: Room 4056, Exit direction 0, destRoomVnum: 4054
DEBUG: Room 4056, Exit direction 2, destRoomVnum: 4061
DEBUG: Room 4057, Exit direction 0, destRoomVnum: 4055
DEBUG: Room 4057, Exit direction 2, destRoomVnum: 4062
DEBUG: Room 4058, Exit direction 2, destRoomVnum: 4063
DEBUG: Room 4058, Exit direction 3, destRoomVnum: 4057
DEBUG: Room 4059, Exit direction 1, destRoomVnum: 4060
DEBUG: Room 4060, Exit direction 1, destRoomVnum: 4061
DEBUG: Room 4060, Exit direction 3, destRoomVnum: 4059
DEBUG: Room 4061, Exit direction 0, destRoomVnum: 4056
DEBUG: Room 4061, Exit direction 2, destRoomVnum: 4065
DEBUG: Room 4061, Exit direction 3, destRoomVnum: 4060
DEBUG: Room 4062, Exit direction 1, destRoomVnum: 4063
DEBUG: Room 4062, Exit direction 3, destRoomVnum: 4061
DEBUG: Room 4063, Exit direction 0, destRoomVnum: 4054
DEBUG: Room 4063, Exit direction 1, destRoomVnum: 4064
DEBUG: Room 4064, Exit direction 3, destRoomVnum: 4063
DEBUG: Room 4064, Exit direction 4, destRoomVnum: 4020
DEBUG: Room 4065, Exit direction 0, destRoomVnum: 4061
DEBUG: Room 4065, Exit direction 1, destRoomVnum: 4066
DEBUG: Room 4066, Exit direction 0, destRoomVnum: 4062
DEBUG: Room 4066, Exit direction 1, destRoomVnum: 4067
DEBUG: Room 4066, Exit direction 2, destRoomVnum: 4069
DEBUG: Room 4067, Exit direction 0, destRoomVnum: 4063
DEBUG: Room 4067, Exit direction 3, destRoomVnum: 4066
DEBUG: Room 4068, Exit direction 1, destRoomVnum: 4069
DEBUG: Room 4068, Exit direction 2, destRoomVnum: 4070
DEBUG: Room 4069, Exit direction 0, destRoomVnum: 4066
DEBUG: Room 4069, Exit direction 2, destRoomVnum: 4071
DEBUG: Room 4069, Exit direction 3, destRoomVnum: 4068
DEBUG: Room 4070, Exit direction 0, destRoomVnum: 4068
DEBUG: Room 4070, Exit direction 1, destRoomVnum: 4071
DEBUG: Room 4071, Exit direction 0, destRoomVnum: 4069
DEBUG: Room 4071, Exit direction 1, destRoomVnum: 4072
DEBUG: Room 4071, Exit direction 3, destRoomVnum: 4070
DEBUG: Room 4072, Exit direction 1, destRoomVnum: 4073
DEBUG: Room 4072, Exit direction 2, destRoomVnum: 4074
DEBUG: Room 4072, Exit direction 3, destRoomVnum: 4071
DEBUG: Room 4073, Exit direction 3, destRoomVnum: 4072
DEBUG: Room 4074, Exit direction 0, destRoomVnum: 4072
DEBUG: Room 4074, Exit direction 5, destRoomVnum: -1
DEBUG: Room 4100, Exit direction 3, destRoomVnum: 4101
DEBUG: Room 4101, Exit direction 1, destRoomVnum: 4100
DEBUG: Room 4101, Exit direction 3, destRoomVnum: 4102
DEBUG: Room 4102, Exit direction 1, destRoomVnum: 4101
DEBUG: Room 4102, Exit direction 3, destRoomVnum: 4103
DEBUG: Room 4103, Exit direction 1, destRoomVnum: 4102
DEBUG: Room 4103, Exit direction 2, destRoomVnum: 4106
DEBUG: Room 4103, Exit direction 3, destRoomVnum: 4104
DEBUG: Room 4104, Exit direction 1, destRoomVnum: 4103
DEBUG: Room 4104, Exit direction 3, destRoomVnum: -1
